RANK,SUM,Pop_SD,VAR
25169,6063.019,3360.321,24706.334
29364,5636.181,3138.219,21550.292
71313,5544.781,3007.517,19795.412
10487,6001.781,3531.696,27290.212
85995,6154.419,3443.495,25949.374
10487,5575.4,3477.313,26457.101
100678,6550.181,3195.344,22342.273
102775,6215.2,3044.077,20278.461
253791,6458.781,3116.74,21257.812
8390,5179.181,3199.914,22403.054
96483,6520.019,3289.029,23670.772
10487,5027,3192.602,22301.6
41949,5361.981,2488.822,13555.534
27267,6032.4,3444.866,25969.939
20975,6215.2,3593.848,28260.88
44046,6306.6,3296.341,23776.339
4195,5209.8,3103.03,21070.899
96483,6580.8,3002.947,19730.061
44046,5818.981,2906.977,18491.134
39852,6032.4,3059.615,20485.939
10487,6458.781,3704.899,30032.212
2097,4509.219,3129.993,21440.612
6292,4996.381,2764.393,16724.372
4195,6154.419,3741.916,30641.393
2097,5149.019,3592.477,28240.772
165699,6550.181,2593.932,14725.454
257986,6763.6,2958.161,19145.101
197160,5818.981,2662.025,15505.553
29364,6063.019,3241.958,23000.353
2097,5423.219,3515.701,27046.174
2097,6367.381,3665.597,29398.353
20975,5392.6,3118.111,21277.92
33559,5880.219,3303.196,23877.793
54534,5606.019,3155.128,21781.534
29364,6367.381,3297.255,23792.334
56631,6275.981,3384.999,25071.934
6292,5758.2,3459.49,26189.299
31462,5331.819,3406.478,25389.092
155211,6794.219,2885.041,18210.993
33559,5849.6,3210.882,22557.52
144724,6611.419,3196.258,22354.612
6292,5727.581,3531.696,27290.212
73411,6123.8,3348.896,24544.099
18877,6337.219,3311.879,23999.812
4195,6215.2,3715.867,30210.899
10487,5818.981,3706.727,30068.772
2097,4966.219,3402.822,25340.193
44046,6550.181,2965.016,19234.673
14682,6367.381,3326.96,24219.172
31462,5544.781,3464.06,26254.193
16780,5697.419,3204.941,22476.174
85995,6275.981,3553.632,27631.134
31462,5666.8,3365.805,24787.68
14682,5727.581,3209.511,22537.412
8390,4935.6,2981.468,19449.92
192965,6458.781,3217.737,22658.974
2097,5423.219,3601.617,28387.012
18877,5941,2690.816,15842.819
16780,5484,3231.447,22850
2097,6032.4,3860.279,32611.52
199258,6367.381,3168.381,21964.334
79703,6123.8,3103.03,21070.899
318812,7037.8,2816.034,17353.661
31462,5361.981,3360.321,24706.334
54534,6702.819,3495.136,26729.473
